Date,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Continent
2022-05-10,39.0,Sweden,2504894,368.0,18864.0,,2475271.0,546.0,10759.0,16.0,245192.0,1847.0,18534055.0,1814212.0,10216034.0,4.0,542.0,1.0,36.0,,1053.0,Europe
2022-05-10,40.0,Iraq,2326033,162.0,25215.0,,2299572.0,121.0,1246.0,14.0,55520.0,602.0,18512761.0,441879.0,41895563.0,18.0,1662.0,2.0,4.0,,30.0,Asia
2022-05-10,41.0,Serbia,2011399,438.0,16040.0,3.0,1985107.0,624.0,10252.0,18.0,231938.0,1850.0,9570938.0,1103644.0,8672125.0,4.0,541.0,1.0,51.0,0.3,1182.0,Europe
2022-05-10,42.0,Bangladesh,1952888,33.0,29127.0,,1898312.0,249.0,25449.0,1273.0,11643.0,174.0,14033932.0,83669.0,167731723.0,86.0,5759.0,12.0,0.2,,152.0,Asia
2022-05-10,43.0,Hungary,1909948,6748.0,46343.0,77.0,1821435.0,13374.0,42170.0,29.0,198645.0,4820.0,11394556.0,1185097.0,9614873.0,5.0,207.0,1.0,702.0,8.0,4386.0,Europe
2022-05-10,44.0,Slovakia,1785978,443.0,20002.0,8.0,1757977.0,1385.0,7999.0,33.0,326830.0,3660.0,7120136.0,1302970.0,5464545.0,3.0,273.0,1.0,81.0,1.0,1464.0,Europe
2022-05-10,45.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163047.0,1352.0,16670254.0,1604305.0,10390950.0,6.0,740.0,1.0,,,118.0,Asia
2022-05-10,46.0,Georgia,1655221,,16811.0,,1637293.0,,1117.0,,416411.0,4229.0,16920079.0,4256656.0,3974970.0,2.0,236.0,0.0,,,281.0,Asia
2022-05-10,47.0,Ireland,1532017,867.0,7170.0,3.0,1485903.0,1715.0,38944.0,30.0,303968.0,1423.0,12132098.0,2407135.0,5040057.0,3.0,703.0,0.0,172.0,0.6,7727.0,Europe
2022-05-10,48.0,Pakistan,1528897,66.0,30376.0,1.0,1494141.0,,4380.0,98.0,6681.0,133.0,28278968.0,123573.0,228843575.0,150.0,7534.0,8.0,0.3,,19.0,Asia
2022-05-10,49.0,Norway,1429064,365.0,3061.0,,,,,20.0,259837.0,557.0,11002430.0,2000499.0,5499844.0,4.0,1797.0,0.0,66.0,,243107.0,Europe
2022-05-10,50.0,Kazakhstan,1305607,4.0,13661.0,,1291376.0,5.0,570.0,24.0,68025.0,712.0,11575012.0,603080.0,19193146.0,15.0,1405.0,2.0,0.2,,30.0,Asia
2022-05-10,51.0,Singapore,1228914,3890.0,1358.0,2.0,1155970.0,2485.0,71586.0,6.0,207039.0,229.0,23767171.0,4004134.0,5935658.0,5.0,4371.0,0.0,655.0,0.3,12060.0,Asia
2022-05-10,52.0,Hong Kong,1207371,280.0,9355.0,3.0,,,,5.0,158661.0,1229.0,44972952.0,5909903.0,7609762.0,6.0,813.0,0.0,37.0,0.4,155693.0,Asia
2022-05-10,53.0,Morocco,1165455,89.0,16071.0,,1148928.0,14.0,456.0,293.0,30896.0,426.0,11237010.0,297892.0,37721752.0,32.0,2347.0,3.0,2.0,,12.0,Africa
2022-05-10,54.0,Bulgaria,1160706,359.0,37019.0,12.0,999645.0,4626.0,124042.0,67.0,169409.0,5403.0,9909423.0,1446317.0,6851486.0,6.0,185.0,1.0,52.0,2.0,18104.0,Europe
2022-05-10,55.0,Croatia,1129199,960.0,15905.0,6.0,1108536.0,303.0,4758.0,17.0,278242.0,3919.0,4824073.0,1188683.0,4058336.0,4.0,255.0,1.0,237.0,1.0,1172.0,Europe
2022-05-10,56.0,Cuba,1104206,96.0,8529.0,1.0,1095154.0,142.0,523.0,23.0,97598.0,754.0,12920253.0,1141991.0,11313798.0,10.0,1327.0,1.0,8.0,0.09,46.0,North America
2022-05-10,57.0,Lebanon,1097720,77.0,10403.0,1.0,1084400.0,130.0,2917.0,186.0,162174.0,1537.0,4795578.0,708485.0,6768781.0,6.0,651.0,1.0,11.0,0.1,431.0,Asia
2022-05-10,58.0,Lithuania,1060072,212.0,9125.0,3.0,1030935.0,752.0,20012.0,9.0,399741.0,3441.0,9951218.0,3752490.0,2651897.0,3.0,291.0,0.0,80.0,1.0,7546.0,Europe
2022-05-10,59.0,Finland,1052767,,4150.0,,,,,21.0,189460.0,747.0,10773620.0,1938860.0,5556679.0,5.0,1339.0,1.0,,,180435.0,Europe
2022-05-10,60.0,Tunisia,1041197,,28575.0,,,,,29.0,86421.0,2372.0,4592916.0,381221.0,12047923.0,12.0,422.0,3.0,,,-1173.15,Africa
2022-05-10,61.0,Slovenia,1017694,684.0,6616.0,3.0,1001005.0,1151.0,10073.0,19.0,489401.0,3182.0,2654455.0,1276507.0,2079468.0,2.0,314.0,1.0,329.0,1.0,4844.0,Europe
2022-05-10,62.0,New Zealand,1013721,8047.0,855.0,29.0,960384.0,11667.0,52482.0,,202659.0,171.0,7115383.0,1422479.0,5002100.0,5.0,5850.0,1.0,1609.0,6.0,10492.0,Oceanic
2022-05-10,63.0,Belarus,982867,,6978.0,,,,,,104078.0,739.0,13220483.0,1399947.0,9443560.0,10.0,1353.0,1.0,,,5014.0,Europe
2022-05-10,64.0,Nepal,978978,18.0,11952.0,,966839.0,16.0,187.0,,32515.0,397.0,5662311.0,188064.0,30108348.0,31.0,2519.0,5.0,0.6,,6.0,Asia
2022-05-10,65.0,Bolivia,905655,125.0,21926.0,1.0,862685.0,408.0,21044.0,220.0,75671.0,1832.0,2705422.0,226050.0,11968249.0,13.0,546.0,4.0,10.0,0.08,1758.0,South America
2022-05-10,66.0,UAE,901076,312.0,2302.0,,885035.0,264.0,13739.0,,89110.0,228.0,158184246.0,15643265.0,10111971.0,11.0,4393.0,0.0,31.0,,1359.0,Unknown
2022-05-10,67.0,Uruguay,899723,,7210.0,,888557.0,,3956.0,18.0,257354.0,2062.0,6091188.0,1742305.0,3496052.0,4.0,485.0,1.0,,,1132.0,South America
2022-05-10,68.0,Ecuador,871046,,35602.0,,,,,759.0,48019.0,1963.0,2470170.0,136174.0,18139765.0,21.0,510.0,7.0,,,21586.0,South America
2022-05-10,69.0,Costa Rica,866164,,8444.0,,841683.0,,16037.0,48.0,167201.0,1630.0,4401922.0,849731.0,5180372.0,6.0,613.0,1.0,,,3096.0,North America
2022-05-10,70.0,Guatemala,850255,,17719.0,,830386.0,,2150.0,5.0,45885.0,956.0,4516595.0,243746.0,18529950.0,22.0,1046.0,4.0,,,116.0,North America
2022-05-10,71.0,Latvia,825272,346.0,5794.0,2.0,815324.0,603.0,4154.0,9.0,446685.0,3136.0,7211698.0,3903391.0,1847547.0,2.0,319.0,0.0,187.0,1.0,2248.0,Europe
2022-05-10,72.0,Panama,796461,3324.0,8199.0,5.0,769618.0,779.0,18644.0,16.0,179355.0,1846.0,5975743.0,1345677.0,4440696.0,6.0,542.0,1.0,749.0,1.0,4198.0,North America
2022-05-10,73.0,Azerbaijan,792638,,9709.0,,782869.0,,60.0,,76891.0,942.0,6838458.0,663372.0,10308634.0,13.0,1062.0,2.0,,,6.0,Asia
2022-05-10,74.0,Saudi Arabia,757191,642.0,9108.0,4.0,742927.0,145.0,5156.0,60.0,21139.0,254.0,42049904.0,1173953.0,35819075.0,47.0,3933.0,1.0,18.0,0.1,144.0,Asia
2022-05-10,75.0,Sri Lanka,663614,17.0,16510.0,1.0,646151.0,2.0,953.0,,30752.0,765.0,6486117.0,300565.0,21579728.0,33.0,1307.0,3.0,0.8,0.05,44.0,Asia
2022-05-10,76.0,Paraguay,649718,,18872.0,,624673.0,,6173.0,2.0,89064.0,2587.0,2633737.0,361034.0,7294987.0,11.0,387.0,3.0,,,846.0,South America
2022-05-10,77.0,Kuwait,632074,176.0,2555.0,,629114.0,168.0,405.0,3.0,144057.0,582.0,8071763.0,1839647.0,4387669.0,7.0,1717.0,1.0,40.0,,92.0,Asia
2022-05-10,78.0,Myanmar,613082,16.0,19434.0,,592001.0,14.0,1647.0,,11130.0,353.0,8049855.0,146132.0,55086148.0,90.0,2835.0,7.0,0.3,,30.0,Asia
2022-05-10,79.0,Palestine,582119,,5353.0,,576684.0,,82.0,17.0,109396.0,1006.0,3078533.0,578538.0,5321228.0,9.0,994.0,2.0,,,15.0,Asia
2022-05-10,80.0,Dominican Republic,580020,,4376.0,,575175.0,,469.0,1.0,52492.0,396.0,3296116.0,298301.0,11049619.0,19.0,2525.0,3.0,,,42.0,North America
2022-05-10,81.0,Bahrain,575129,728.0,1479.0,2.0,568141.0,398.0,5509.0,3.0,317545.0,817.0,9766940.0,5392611.0,1811171.0,3.0,1225.0,0.0,402.0,1.0,3042.0,Asia
2022-05-10,82.0,Estonia,573922,,2556.0,,514836.0,,56530.0,3.0,432109.0,1924.0,3345340.0,2518723.0,1328189.0,2.0,520.0,0.0,,,42562.0,Europe
2022-05-10,83.0,Venezuela,522840,40.0,5710.0,1.0,516065.0,105.0,1065.0,230.0,18484.0,202.0,3359014.0,118749.0,28286566.0,54.0,4954.0,8.0,1.0,0.04,38.0,South America
2022-05-10,84.0,Moldova,516986,,11489.0,,504142.0,,1355.0,49.0,128713.0,2860.0,3216305.0,800757.0,4016581.0,8.0,350.0,1.0,,,337.0,Europe
2022-05-10,85.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4869.0,232.0,3693367.0,34872.0,105912541.0,205.0,4303.0,29.0,,,461.0,Africa
2022-05-10,86.0,Taiwan,505424,57185.0,951.0,8.0,39254.0,,465219.0,,21150.0,40.0,15584088.0,652144.0,23896703.0,47.0,25128.0,2.0,2393.0,0.3,19468.0,Asia
2022-05-10,87.0,Libya,501904,,6430.0,,490973.0,,4501.0,101.0,71247.0,913.0,2477219.0,351651.0,7044535.0,14.0,1096.0,3.0,,,639.0,Africa
2022-05-10,88.0,Cyprus,477711,,1032.0,,124370.0,,352309.0,60.0,390396.0,843.0,9477138.0,7744936.0,1223656.0,3.0,1186.0,0.0,,,287915.0,Asia
2022-05-10,89.0,Ethiopia,470833,35.0,7510.0,,455746.0,3.0,7577.0,4.0,3916.0,62.0,4823795.0,40117.0,120241699.0,255.0,16011.0,25.0,0.3,,63.0,Africa
2022-05-10,90.0,Mongolia,469885,,2179.0,,313256.0,,154450.0,192.0,139177.0,645.0,4030048.0,1193675.0,3376168.0,7.0,1549.0,1.0,,,45747.0,Asia
2022-05-10,91.0,Honduras,424376,,10896.0,,132358.0,,281122.0,105.0,41619.0,1069.0,1364273.0,133796.0,10196667.0,24.0,936.0,7.0,,,27570.0,North America
2022-05-10,92.0,Armenia,422896,,8623.0,,412048.0,,2225.0,,142221.0,2900.0,3068217.0,1031850.0,2973512.0,7.0,345.0,1.0,,,748.0,Asia
2022-05-10,93.0,Réunion,405980,,762.0,,395430.0,,9788.0,10.0,447529.0,840.0,1603660.0,1767781.0,907160.0,2.0,1190.0,1.0,,,10790.0,Africa
2022-05-10,94.0,Oman,389344,19.0,4259.0,,384525.0,9.0,560.0,3.0,72811.0,796.0,25000000.0,4675220.0,5347342.0,14.0,1256.0,0.0,4.0,,105.0,Asia
2022-05-10,95.0,Bosnia and Herzegovina,377432,47.0,15775.0,2.0,,,,,116384.0,4864.0,1765936.0,544540.0,3242989.0,9.0,206.0,2.0,14.0,0.6,52248.0,Europe
2022-05-10,96.0,Qatar,365657,162.0,677.0,,364059.0,85.0,921.0,2.0,130229.0,241.0,3474465.0,1237431.0,2807805.0,8.0,4147.0,1.0,58.0,,328.0,Asia
2022-05-10,97.0,Kenya,323939,18.0,5649.0,,318110.0,13.0,180.0,,5788.0,101.0,3623557.0,64745.0,55966822.0,173.0,9907.0,15.0,0.3,,3.0,Africa
2022-05-10,98.0,Zambia,320303,77.0,3983.0,,315792.0,23.0,528.0,1.0,16563.0,206.0,3446017.0,178198.0,19338144.0,60.0,4855.0,6.0,4.0,,27.0,Africa
2022-05-10,99.0,North Macedonia,310506,93.0,9287.0,,300617.0,85.0,602.0,,149051.0,4458.0,2033385.0,976080.0,2083215.0,7.0,224.0,1.0,45.0,,289.0,Europe
2022-05-10,100.0,Botswana,306324,,2690.0,,303026.0,,608.0,1.0,125561.0,1103.0,2026898.0,830816.0,2439647.0,8.0,907.0,1.0,,,249.0,Africa
2022-05-10,101.0,Albania,275440,24.0,3497.0,,271757.0,47.0,186.0,2.0,95906.0,1218.0,1814993.0,631968.0,2871971.0,10.0,821.0,2.0,8.0,,65.0,Europe
2022-05-10,102.0,Algeria,265806,2.0,6875.0,,178368.0,2.0,80563.0,6.0,5865.0,152.0,230861.0,5094.0,45319019.0,170.0,6592.0,196.0,0.04,,1778.0,Africa
2022-05-10,103.0,Nigeria,255802,,3143.0,,249936.0,,2723.0,11.0,1186.0,15.0,5114703.0,23722.0,215609418.0,843.0,68600.0,42.0,,,13.0,Africa
2022-05-10,104.0,Zimbabwe,248642,,5481.0,,242198.0,,963.0,12.0,16289.0,359.0,2278641.0,149281.0,15264075.0,61.0,2785.0,7.0,,,63.0,Africa
2022-05-10,105.0,Luxembourg,242700,506.0,1071.0,,234548.0,2730.0,7081.0,,376361.0,1661.0,4243873.0,6581087.0,644859.0,3.0,602.0,0.0,785.0,,10981.0,Europe
2022-05-10,106.0,Uzbekistan,238747,4.0,1637.0,,236862.0,5.0,248.0,23.0,6947.0,48.0,1377915.0,40092.0,34368538.0,144.0,20995.0,25.0,0.1,,7.0,Asia
2022-05-10,107.0,Montenegro,236006,61.0,2718.0,1.0,232645.0,81.0,643.0,6.0,375678.0,4327.0,2462510.0,3919865.0,628213.0,3.0,231.0,0.0,97.0,2.0,1024.0,Europe
2022-05-10,108.0,Mozambique,225451,11.0,2201.0,,223186.0,6.0,64.0,13.0,6857.0,67.0,1318072.0,40089.0,32878321.0,146.0,14938.0,25.0,0.3,,2.0,Africa
2022-05-10,109.0,China,220721,324.0,5198.0,7.0,207955.0,817.0,7568.0,484.0,153.0,4.0,160000000.0,111163.0,1439323776.0,6521.0,276900.0,9.0,0.2,,5.0,Asia
2022-05-10,110.0,Laos,209149,301.0,752.0,,,,,,27994.0,101.0,1232128.0,164915.0,7471304.0,36.0,9935.0,6.0,40.0,,26868.0,Asia
2022-05-10,111.0,Kyrgyzstan,200993,,2991.0,,196406.0,,1596.0,131.0,29893.0,445.0,1907195.0,283650.0,6723755.0,33.0,2248.0,4.0,,,237.0,Asia
2022-05-10,112.0,Iceland,186179,90.0,120.0,1.0,,,,,539102.0,347.0,2264004.0,6555680.0,345350.0,2.0,2878.0,0.0,261.0,3.0,319600.0,Europe
2022-05-10,113.0,Maldives,179483,,298.0,,163687.0,,15498.0,25.0,321542.0,534.0,2213831.0,3966060.0,558194.0,3.0,1873.0,0.0,,,27765.0,Asia
2022-05-10,114.0,Afghanistan,179137,50.0,7686.0,,162077.0,25.0,9374.0,1124.0,4417.0,190.0,948623.0,23392.0,40553432.0,226.0,5276.0,43.0,1.0,,231.0,Asia
2022-05-10,115.0,Uganda,164069,,3596.0,,100205.0,,60268.0,2.0,3389.0,74.0,2612795.0,53963.0,48417925.0,295.0,13464.0,19.0,,,1245.0,Africa
2022-05-10,116.0,El Salvador,162089,,4129.0,,150662.0,,7298.0,8.0,24758.0,631.0,1950448.0,297920.0,6546890.0,40.0,1586.0,3.0,,,1115.0,North America
2022-05-10,117.0,Ghana,161271,,1445.0,,159774.0,,52.0,1.0,4997.0,45.0,2441751.0,75654.0,32275290.0,200.0,22336.0,13.0,,,2.0,Africa
2022-05-10,118.0,Namibia,159503,192.0,4028.0,,153662.0,,1813.0,,60735.0,1534.0,1015142.0,386542.0,2626212.0,16.0,652.0,3.0,73.0,,690.0,Africa
2022-05-10,119.0,Martinique,153253,,926.0,,104.0,,152223.0,8.0,408975.0,2471.0,828928.0,2212097.0,374725.0,2.0,405.0,0.0,,,406226.0,North America
2022-05-10,120.0,Trinidad and Tobago,152964,584.0,3863.0,2.0,140228.0,526.0,8873.0,18.0,108648.0,2744.0,722629.0,513271.0,1407891.0,9.0,364.0,2.0,415.0,1.0,6302.0,North America
2022-05-10,121.0,Brunei,143616,244.0,219.0,,142061.0,100.0,1336.0,,322554.0,492.0,717784.0,1612107.0,445246.0,3.0,2033.0,1.0,548.0,,3001.0,Asia
2022-05-10,122.0,Guadeloupe,140130,,854.0,,2250.0,,137026.0,19.0,350105.0,2134.0,938039.0,2343627.0,400251.0,3.0,469.0,0.0,,,342350.0,North America
2022-05-10,123.0,Cambodia,136262,,3056.0,,133184.0,,22.0,,7946.0,178.0,2958394.0,172522.0,17147970.0,126.0,5611.0,6.0,,,1.0,Asia
2022-05-10,124.0,Jamaica,131544,110.0,2987.0,5.0,84709.0,108.0,43848.0,,44066.0,1001.0,1026089.0,343733.0,2985133.0,23.0,999.0,3.0,37.0,2.0,14689.0,North America
2022-05-10,125.0,Rwanda,129874,16.0,1459.0,,45522.0,,82893.0,,9587.0,108.0,5322748.0,392901.0,13547316.0,104.0,9285.0,3.0,1.0,,6119.0,Africa
2022-05-10,126.0,Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4313.0,69.0,1751774.0,63080.0,27770620.0,232.0,14411.0,16.0,,,2.0,Africa
2022-05-10,127.0,Angola,99194,,1900.0,,97149.0,,145.0,,2854.0,55.0,1499795.0,43146.0,34760858.0,350.0,18295.0,23.0,,,4.0,Africa
2022-05-10,128.0,Malta,93149,108.0,713.0,,89464.0,191.0,2972.0,4.0,209926.0,1607.0,1899855.0,4281624.0,443723.0,5.0,622.0,0.0,243.0,,6698.0,Europe
2022-05-10,129.0,DRC,87023,,1337.0,,50930.0,,34756.0,,920.0,14.0,846704.0,8950.0,94607318.0,1087.0,70761.0,112.0,,,367.0,Unknown
2022-05-10,130.0,Senegal,86023,4.0,1966.0,,84044.0,4.0,13.0,,4898.0,112.0,1077543.0,61357.0,17561719.0,204.0,8933.0,16.0,0.2,,0.7,Africa
2022-05-10,131.0,Malawi,85842,17.0,2635.0,,82255.0,173.0,952.0,67.0,4282.0,131.0,577429.0,28805.0,20046146.0,234.0,7608.0,35.0,0.8,,47.0,Africa
2022-05-10,132.0,Ivory Coast,81977,,799.0,,81164.0,,14.0,,2971.0,29.0,1508044.0,54661.0,27588977.0,337.0,34529.0,18.0,,,0.5,Africa
2022-05-10,133.0,French Guiana,80859,,395.0,,11254.0,,69210.0,2.0,258310.0,1262.0,627211.0,2003671.0,313031.0,4.0,792.0,0.0,,,221096.0,South America
2022-05-10,134.0,Suriname,80008,,1337.0,,49455.0,,29216.0,,134157.0,2242.0,236268.0,396172.0,596378.0,7.0,446.0,3.0,,,48989.0,South America
2022-05-10,135.0,Channel Islands,75075,,173.0,,74278.0,,624.0,,424551.0,978.0,1252808.0,7084656.0,176834.0,2.0,1022.0,0.0,,,3529.0,Unknown
