#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
128.0,Angola,99194,,1900.0,,97149.0,,145.0,,2851.0,55.0,1499795.0,43104.0,34794535.0,351.0,18313.0,23.0,,,4.0
129.0,Malta,94113,67.0,718.0,1.0,91240.0,142.0,2155.0,4.0,212080.0,1618.0,1914941.0,4315243.0,443762.0,5.0,618.0,0.0,151.0,2.0,4856.0
130.0,DRC,87633,,1338.0,,50930.0,,35365.0,,925.0,14.0,846704.0,8941.0,94696994.0,1081.0,70775.0,112.0,,,373.0
131.0,Senegal,86075,2.0,1966.0,,84092.0,6.0,17.0,,4897.0,112.0,1088831.0,61949.0,17576236.0,204.0,8940.0,16.0,0.1,,1.0
132.0,Malawi,85935,6.0,2638.0,,82848.0,49.0,449.0,67.0,4283.0,131.0,581687.0,28994.0,20062407.0,233.0,7605.0,34.0,0.3,,22.0
133.0,French Guiana,82313,,397.0,,11254.0,,70662.0,1.0,262742.0,1267.0,635980.0,2030037.0,313285.0,4.0,789.0,0.0,,,225552.0
134.0,Ivory Coast,82070,26.0,799.0,,81235.0,22.0,36.0,,2972.0,29.0,1515956.0,54905.0,27610458.0,336.0,34556.0,18.0,0.9,,1.0
135.0,Suriname,80240,,1339.0,,49466.0,,29435.0,,134507.0,2245.0,236652.0,396701.0,596550.0,7.0,446.0,3.0,,,49342.0
136.0,Barbados,79049,130.0,440.0,,74772.0,575.0,3837.0,,274439.0,1528.0,680193.0,2361461.0,288039.0,4.0,655.0,0.0,451.0,,13321.0
137.0,Channel Islands,75767,,176.0,,74979.0,,612.0,,428336.0,995.0,1252808.0,7082533.0,176887.0,2.0,1005.0,0.0,,,3460.0
138.0,French Polynesia,72876,18.0,649.0,,,,,7.0,256631.0,2285.0,,,283972.0,4.0,438.0,,63.0,,136376.0
139.0,Eswatini,72202,52.0,1404.0,,70383.0,84.0,415.0,11.0,61042.0,1187.0,1024835.0,866426.0,1182831.0,16.0,842.0,1.0,44.0,,351.0
140.0,Fiji,64898,3.0,862.0,,63010.0,79.0,1026.0,,71418.0,949.0,526353.0,579235.0,908703.0,14.0,1054.0,2.0,3.0,,1129.0
141.0,Madagascar,64314,,1393.0,,59370.0,,3551.0,6.0,2215.0,48.0,435827.0,15011.0,29033853.0,451.0,20843.0,67.0,,,122.0
142.0,Guyana,64297,21.0,1231.0,,62515.0,59.0,551.0,,81008.0,1551.0,620491.0,781756.0,793714.0,12.0,645.0,1.0,26.0,,694.0
143.0,Sudan,62229,18.0,4939.0,2.0,,,,,1359.0,108.0,562941.0,12296.0,45780621.0,736.0,9269.0,81.0,0.4,0.04,370.0
144.0,New Caledonia,61514,,312.0,,60620.0,,582.0,9.0,211623.0,1073.0,98964.0,340460.0,290677.0,5.0,932.0,3.0,,,2002.0
145.0,Bhutan,59614,40.0,21.0,,59564.0,55.0,29.0,,75687.0,27.0,2303734.0,2924857.0,787640.0,13.0,37507.0,0.0,51.0,,37.0
146.0,Mauritania,59047,22.0,982.0,,57797.0,21.0,268.0,,12099.0,201.0,825510.0,169155.0,4880196.0,83.0,4970.0,6.0,5.0,,55.0
147.0,Belize,58617,198.0,677.0,,56972.0,86.0,968.0,6.0,142535.0,1646.0,557357.0,1355285.0,411247.0,7.0,607.0,1.0,481.0,,2354.0
148.0,Cabo Verde,56172,,401.0,,55669.0,,102.0,23.0,99002.0,707.0,400982.0,706723.0,567382.0,10.0,1415.0,1.0,,,180.0
149.0,Syria,55880,1.0,3150.0,,52610.0,9.0,120.0,,3053.0,172.0,146269.0,7992.0,18302627.0,328.0,5810.0,125.0,0.05,,7.0
150.0,Gabon,47622,,304.0,,47303.0,,15.0,,20484.0,131.0,1595381.0,686243.0,2324806.0,49.0,7647.0,1.0,,,6.0
151.0,Papua New Guinea,44403,9.0,651.0,,43733.0,7.0,19.0,7.0,4792.0,70.0,249149.0,26886.0,9266779.0,209.0,14235.0,37.0,1.0,,2.0
152.0,Seychelles,43729,,167.0,,43040.0,,522.0,,439505.0,1678.0,,,99496.0,2.0,596.0,,,,5246.0
153.0,Curaçao,43522,,276.0,,42622.0,,624.0,3.0,263197.0,1669.0,496693.0,3003725.0,165359.0,4.0,599.0,0.0,,,3774.0
154.0,Andorra,42572,,153.0,,41757.0,,662.0,14.0,549330.0,1974.0,249838.0,3223799.0,77498.0,2.0,507.0,0.0,,,8542.0
155.0,Burundi,41850,22.0,38.0,,,,,,3332.0,3.0,345742.0,27530.0,12558745.0,300.0,330493.0,36.0,2.0,,3268.0
156.0,Mauritius,37985,16.0,996.0,,36327.0,38.0,662.0,,29775.0,781.0,358675.0,281148.0,1275750.0,34.0,1281.0,4.0,13.0,,519.0
157.0,Mayotte,37523,,187.0,,2964.0,,34372.0,,131553.0,656.0,176919.0,620264.0,285232.0,8.0,1525.0,2.0,,,120505.0
158.0,Togo,37049,3.0,273.0,,36750.0,3.0,26.0,,4286.0,32.0,738358.0,85411.0,8644750.0,233.0,31666.0,12.0,0.3,,3.0
